Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
5,-41,-35,-44,TRUE
5,-42,-35,-44,TRUE
5,-41,-34,-44,TRUE
5,-42,-32,-44,TRUE
5,-44,-32,-42,TRUE
6,-41,-32,-41,TRUE
6,-41,-32,-42,TRUE
6,-42,-31,-42,TRUE
6,-42,-31,-43,TRUE
6,-42,-36,-44,TRUE
6,-41,-33,-42,TRUE
6,-44,-31,-40,TRUE
6,-44,-32,-42,TRUE
6,-44,-34,-41,TRUE
6,-43,-34,-43,TRUE
6,-45,-31,-42,TRUE
6,-47,-32,-42,TRUE
6,-43,-35,-42,TRUE
6,-39,-38,-42,TRUE
6,-43,-38,-46,TRUE
6,-42,-38,-47,TRUE
6,-45,-39,-49,TRUE
6,-45,-38,-49,TRUE
6,-45,-38,-50,TRUE
6,-45,-38,-49,TRUE
6,-45,-38,-52,TRUE
6,-45,-39,-53,TRUE
6,-45,-39,-49,TRUE
6,-46,-38,-48,TRUE
6,-45,-38,-52,TRUE
6,-45,-39,-51,TRUE
6,-45,-38,-50,TRUE
6,-45,-41,-51,TRUE
6,-43,-39,-49,TRUE
6,-44,-39,-49,TRUE
6,-43,-40,-50,TRUE
6,-43,-39,-48,TRUE
6,-44,-40,-51,TRUE
6,-44,-40,-50,TRUE
6,-44,-40,-50,TRUE
6,-45,-40,-50,TRUE
6,-45,-39,-48,TRUE
6,-45,-39,-48,TRUE
6,-45,-39,-49,TRUE
6,-45,-40,-48,TRUE
6,-42,-41,-51,TRUE
6,-45,-40,-52,TRUE
6,-45,-39,-50,TRUE
6,-45,-40,-51,TRUE
6,-44,-39,-51,TRUE
6,-43,-39,-48,TRUE
7,-41,-39,-44,TRUE
7,-41,-41,-41,TRUE
7,-42,-41,-43,TRUE
7,-41,-42,-41,TRUE
7,-45,-39,-43,TRUE
7,-40,-40,-42,TRUE
7,-37,-45,-41,TRUE
7,-40,-45,-42,TRUE
7,-42,-45,-43,TRUE
7,-40,-44,-43,TRUE
7,-42,-42,-50,TRUE
7,-43,-41,-48,TRUE
7,-44,-42,-49,TRUE
7,-42,-41,-50,TRUE
7,-42,-40,-51,TRUE
7,-43,-41,-50,TRUE
7,-42,-40,-50,TRUE
7,-42,-41,-50,TRUE
7,-42,-42,-51,TRUE
7,-42,-40,-51,TRUE
7,-42,-43,-50,TRUE
7,-42,-43,-51,TRUE
7,-41,-42,-46,TRUE
7,-42,-42,-45,TRUE
7,-43,-43,-44,TRUE
7,-40,-40,-43,TRUE
7,-42,-40,-43,TRUE
7,-42,-39,-42,TRUE
7,-42,-40,-41,TRUE
7,-42,-38,-41,TRUE
7,-42,-38,-42,TRUE
7,-42,-38,-42,TRUE
7,-42,-38,-43,TRUE
7,-38,-37,-42,TRUE
7,-37,-38,-42,TRUE
7,-36,-37,-44,TRUE
7,-36,-38,-42,TRUE
7,-36,-38,-43,TRUE
7,-37,-38,-41,TRUE
7,-36,-41,-42,TRUE
7,-37,-40,-41,TRUE
7,-37,-42,-43,TRUE
7,-37,-41,-42,TRUE
7,-37,-41,-39,TRUE
7,-38,-39,-39,TRUE
7,-39,-38,-43,TRUE
8,-39,-41,-41,TRUE
8,-37,-39,-41,TRUE
8,-38,-35,-42,TRUE
8,-38,-32,-41,TRUE
8,-41,-35,-46,TRUE
8,-40,-35,-50,TRUE
8,-41,-34,-56,TRUE
8,-42,-31,-48,TRUE
8,-40,-35,-46,TRUE
8,-39,-36,-50,TRUE
8,-40,-39,-49,TRUE
8,-40,-37,-49,TRUE
8,-39,-37,-48,TRUE
8,-39,-37,-47,TRUE
8,-40,-36,-45,TRUE
8,-40,-37,-48,TRUE
8,-40,-37,-45,TRUE
8,-40,-36,-46,TRUE
8,-42,-36,-45,TRUE
8,-45,-32,-47,TRUE
8,-50,-33,-53,TRUE
