Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
5,-40,-46,-29,2
5,-40,-47,-28,2
5,-39,-45,-29,2
6,-40,-50,-29,2
6,-39,-47,-29,2
6,-41,-45,-29,2
6,-37,-50,-29,2
6,-39,-51,-29,2
6,-38,-52,-29,2
6,-39,-45,-29,2
6,-41,-46,-31,2
6,-37,-44,-40,2
6,-42,-48,-29,2
6,-40,-47,-39,2
6,-39,-45,-29,2
6,-37,-49,-29,2
6,-38,-41,-29,2
6,-39,-48,-29,2
6,-40,-47,-29,2
6,-40,-47,-29,2
6,-38,-48,-29,2
6,-40,-49,-29,2
6,-39,-47,-29,2
6,-38,-44,-29,2
6,-39,-49,-29,2
6,-39,-42,-29,2
6,-39,-47,-29,2
6,-39,-46,-29,2
6,-40,-44,-29,2
6,-39,-44,-28,2
6,-39,-46,-29,2
6,-38,-48,-29,2
6,-40,-41,-28,2
6,-40,-50,-28,2
6,-38,-45,-33,2
6,-38,-46,-29,2
6,-36,-58,-29,2
6,-40,-48,-29,2
6,-38,-54,-29,2
6,-40,-52,-29,2
6,-38,-52,-32,2
6,-39,-48,-29,2
6,-38,-49,-29,2
6,-38,-51,-29,2
6,-39,-49,-29,2
6,-39,-47,-29,2
6,-40,-48,-36,2
6,-39,-54,-32,2
6,-38,-49,-39,2
6,-40,-52,-37,2
7,-40,-47,-37,2
